CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
53544.38,113874.75,141177.5,2992.75,17927.88,5875,1713,1832,2815.5,2961.5,4349,4290.13,306514.38,309507.13,363051.5
52740.88,88448,111960.63,3699.25,14007.63,4675.75,1216.63,1303.88,1839.38,1905.75,3316,3369.13,239756.25,243455.5,296196.38
72725.25,97996.5,125959.38,5848.38,17547.25,5438.13,1367,1402.5,2848.75,2902,3357.38,3366.13,270598.5,276446.88,349172.13
73375.5,98290.63,124906.13,5586.38,17946.75,5575.38,1490.25,1523.38,2735.5,2571.25,3384.13,3436.13,270373,275959.38,349334.88
67901.38,112802.63,157415.63,5172.75,18629.13,5967,2138,2192.25,2850.75,2948.75,3951.25,3920,323115.38,328288.13,396189.5
43565.75,102185.25,134500.63,4913.75,18454.13,5819.13,1354.38,1476,2325.75,2403.63,3863.88,3686.13,284157.88,289071.63,332637.38
43744.88,99710.88,133535.88,5420.5,18154,5707.5,1366.88,1460.63,2200.75,2365.25,3769.88,3612.38,279907,285327.5,329072.38
51031.88,107443.63,132445.25,5244.13,18510.63,5452.75,1579.5,1568.5,2254.38,2466.25,4078.5,3895.63,289171.88,294416,345447.88
45364.38,108265.63,133920.63,5353.38,18335.88,5516.13,1675.5,1703.13,2179.63,2466.5,4014.38,3963.88,291799.25,297152.63,342517
63594.13,121986.25,135307.75,4671.88,21296.88,6169.5,1530.25,1702.63,2623.75,2732.25,3888,3798.38,310705,315376.88,378971
70868,132528.75,147088.25,9232.63,18661.38,5412.5,1408,1333.75,2404.88,2386.63,3795.88,3813.5,327052.38,336285,407153
54034,105301.63,120977.38,3593.5,17869.38,5388.75,1344.13,1411.75,2391.25,2380.88,3569.63,3605.63,272429.63,276023.13,330057.13
40527,103383.13,126882.38,4594.13,18494.75,5673.13,1556.13,1829.25,2173.63,2403.5,3694.63,3403.25,278843.75,283437.88,323964.88
42336.88,115870.25,140658.63,4105,20499.88,5747.63,1628,1690.63,2450.88,2592.25,4061.75,3829,307882.5,311987.5,354324.38
48905.88,119428.13,164536.75,5323.63,18371.25,6082.75,1647.13,1748.88,2776.25,2985.88,4335.25,4096.88,335507.13,340830.75,389736.63
67889.5,130542.63,144690.13,5412,21877,6089.88,1792.5,1707.5,2749.75,2975,4221.13,4130,330645.5,336057.5,403947
64837.13,112565.88,137629.38,4126.13,21967.75,6049,1400.75,1493.25,2712.38,2763.88,3757.38,3776.75,303702.13,307828.25,372665.38
43815.63,116977,144367.13,2754.5,20482.75,6402.38,1647.63,1683,2671.13,2870.38,3727.13,3818.75,313988.38,316742.88,360558.5
52028,108821.63,136301.5,3507.63,17232.25,5853.5,1528.75,1680,2650.5,2703.5,3571.13,3606.75,292639.88,296147.5,348175.5
