CSF,Cortical GM,WM,Ventricles,Cerebellum,Brainstem,Caudate Right,Caudate Left,Lentiform Right,Lentiform Left,Thalamus Left,Thalamus Right,TTV,TBV,ICV
58986,109201,137967,3243,17596,5717,1699,1800,2750,2986,4257,4271,297934,301177,360163
57726,85556,109097,4041,13739,4512,1303,1328,1786,1864,3267,3289,233231,237272,294998
77820,97539,120937,6403,17185,5376,1377,1341,2834,2944,3326,3282,264283,270686,348506
81096,96472,119534,6055,17480,5464,1470,1481,2756,2578,3370,3387,262225,268280,349376
74838,109684,153209,5597,18142,5781,2107,2152,2797,2912,3888,3858,314680,320277,395115
48275,99905,130347,5330,18113,5782,1348,1410,2295,2401,3846,3667,277147,282477,330752
47778,97215,130067,5807,17913,5627,1359,1406,2226,2436,3697,3589,273460,279267,327045
55868,103424,130660,5845,18070,5273,1660,1562,2066,2362,4084,3833,282288,288133,344001
50185,103855,132164,5911,17826,5331,1719,1724,1987,2370,4010,4009,284470,290381,340566
68691,120505,131106,5019,21096,5958,1516,1616,2552,2751,3817,3762,304082,309101,377792
78120,130059,142429,9914,18067,5299,1342,1267,2386,2364,3713,3706,318786,328700,406820
58934,102767,117908,3924,17625,5298,1341,1368,2356,2342,3506,3509,266144,270068,329002
41147,108616,123326,5060,20369,5875,1525,1771,2112,2403,3730,3509,282855,287915,329062
46871,112661,137953,4380,20350,5709,1607,1661,2271,2549,4051,3765,301306,305686,352557
54840,115164,160051,5672,17955,5992,1630,1665,2748,3117,4297,4057,326063,331735,386575
73323,126509,142434,5800,21703,5948,1703,1684,2717,3027,4143,3997,323621,329421,402744
71105,110887,133463,4565,21548,5865,1437,1480,2575,2706,3723,3672,296787,301352,372457
48881,114405,140274,3008,20281,6193,1681,1673,2612,2867,3709,3829,306777,309785,358666
57277,107444,130457,4432,16819,5733,1518,1617,2631,2721,3645,3576,284761,289193,346470
58653,101945,130498,4570,19667,5243,1505,1427,2439,2597,3659,3632,280715,285285,343938
63448,131056,156797,5630,19767,5940,1856,1785,3076,3299,3676,3502,339780,345410,408858
64773,122237,147131,3970,22186,6393,2248,2213,3130,3313,4411,4379,327841,331811,396584
78137,120432,142203,5221,18598,5814,1682,1678,2701,2905,4258,4320,314409,319630,397767
50384,84831,93989,2528,16202,4761,1261,1283,2340,2264,3317,3479,220648,223176,273560
84368,131602,139573,5668,19776,6238,1646,1752,2817,2715,3985,4088,323679,329347,413715
53745,98859,114784,3578,17807,5515,1379,1387,2650,2893,3432,3424,260233,263811,317556
68528,111193,134540,4150,18430,5277,1585,1668,2298,2248,3325,3347,292170,296320,364848
66312,133095,144015,4337,20073,5808,1706,1699,2828,3058,3853,4041,330192,334529,400841
57470,118565,134116,4568,18823,5566,1685,1718,2680,2750,3749,3885,302468,307036,364506
79051,130965,149640,5438,20012,6170,1969,1908,2722,3149,4323,4392,335903,341341,420392
58767,115918,133622,4854,18766,5660,1761,1853,2596,2614,3789,3839,299027,303881,362648
62933,106203,117630,2741,20097,5548,1246,1295,2388,2348,3295,3248,271416,274157,337090
69973,147225,174717,4723,21385,6036,1599,1596,3309,3360,4162,4219,377333,382056,452029
66040,127983,150400,5130,23433,6433,1874,1889,3010,3138,3747,3755,334964,340094,406134
79330,107358,128095,5318,17778,5314,1493,1502,2592,2714,3773,3833,283170,288488,367818
80553,136513,141835,4750,22639,5830,1629,1796,2852,3003,4356,4306,334539,339289,419842
77984,127400,149706,6631,19351,5839,1501,1612,2465,2842,4267,4153,328663,335294,413278
84682,155942,165838,4077,25341,6945,1827,1869,2990,3074,4714,5201,385462,389539,474221
80380,142158,155156,7108,22313,6010,1630,1598,3257,3245,4009,4055,352775,359883,440263
65584,122105,137550,4943,21525,6079,1926,1859,3152,3398,4151,4011,316516,321459,387043
65056,115396,126455,3663,18017,5568,1681,1705,2803,2862,3919,3953,291428,295091,360147
73339,152498,168121,5920,23302,6353,1781,1704,2837,2968,4359,4619,379170,385090,458429
77865,117302,139376,6161,21789,5975,1648,1818,2818,2940,3923,3818,310865,317026,394891
63344,123193,140761,4295,22206,6012,1621,1635,2938,3201,4040,4005,318596,322891,386235
60792,122104,137663,5494,21741,6123,1924,1957,2817,2759,4032,4222,316095,321589,382381
63324,115949,130637,4857,18718,5795,1649,1425,2591,2860,3810,3637,295701,300558,363882
75900,119673,134863,4144,19698,5579,1427,1561,2594,3041,3920,3934,305546,309690,385590
68089,142655,158491,5921,23163,6174,2392,2326,2878,3313,4745,4718,361625,367546,435635
77515,135205,141617,5114,19958,5954,1515,1518,2732,2992,4032,4010,328636,333750,411265
70102,131989,149283,4339,20475,6016,1656,1857,2800,2987,4344,4432,335896,340235,410337
73513,117785,133818,4328,18199,6067,1705,1865,2843,2982,3836,3806,302363,306691,380204
69492,131413,149945,4235,20238,5758,1603,1628,2812,2752,3983,4094,333966,338201,407693
91766,114156,121920,5452,20033,5938,1718,1779,2583,2886,3851,3812,287920,293372,385138
85914,140053,169542,10230,23537,6679,2286,2449,2652,2929,4515,4567,370257,380487,466401
87177,145386,141932,3709,21933,5978,1681,1709,2840,3052,4401,4249,342878,346587,433764
